   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
              1        369349.000        20231016.191       106314687.920        50
              7        369349.000        20382502.212       107110767.133        49
             93        369349.000        39081684.229       203508580.832        42
             11        369349.000        20744017.552       109010526.324        49
             17        369349.000        23558647.142       123801546.318        44
             28        369349.000        23223917.903       122042503.558        44
             30        369349.000        20777254.476       109185202.843        50
             22        369349.000        23039144.597       121071509.353        44
              8        369349.000        23461477.646       123290837.088        44
              3        369349.000        23555061.279       123782669.296        43
             89        369349.000        37022339.884       192785037.689        46
             92        369349.000        38374677.716       199827011.730        42
             96        369349.000        36544629.075       190297472.807        45
             98        369349.000        35743569.117       186126140.456        47
            100        369349.000        22261223.348       115920032.584        48
            103        369349.000        36659839.234       190897403.867        47
             95        369349.000        35942346.536       187161227.528        48
             90        369349.000        37424439.283       194878873.295        43
             91        369349.000        36207628.585       188542620.740        46
             94        369349.000        40632037.115       211581677.718        37
              9        369349.000        25252784.640       132704289.895        37
             99        369349.000        25264069.765       131556643.755        42
              1        369350.000        20231115.343       106315208.778        50
              7        369350.000        20382712.016       107111869.181        49
             93        369350.000        39081626.032       203508277.723        42
             11        369350.000        20744306.423       109012043.307        49
             17        369350.000        23558356.090       123800016.663        44
             28        369350.000        23223429.000       122039935.599        44
             30        369350.000        20777101.682       109184400.502        51
             22        369350.000        23038825.834       121069837.408        45
              8        369350.000        23461809.305       123292580.010        44
              3        369350.000        23554552.623       123779995.745        43
             89        369350.000        37022291.407       192784785.625        46
             92        369350.000        38374626.115       199826743.234        42
             96        369350.000        36544694.025       190297810.825        45
             98        369350.000        35743511.723       186125842.763        47
            100        369350.000        22261231.725       115920074.644        48
            103        369350.000        36659841.956       190897417.324        47
             95        369350.000        35942397.404       187161492.746        48
             90        369350.000        37424383.408       194878582.214        43
             91        369350.000        36207577.578       188542354.780        46
             94        369350.000        40631820.906       211580552.116        37
              9        369350.000        25253033.968       132705596.451        37
             99        369350.000        25263732.871       131554888.941        42
              1        369351.000        20231214.739       106315730.208        50
              7        369351.000        20382921.645       107112971.775        49
             93        369351.000        39081567.713       203507974.529        42
             11        369351.000        20744595.242       109013560.615        49
             17        369351.000        23558065.299       123798487.092        44
             28        369351.000        23222940.289       122037367.470        44
             30        369351.000        20776949.097       109183598.734        51
             22        369351.000        23038507.490       121068165.649        44
              8        369351.000        23462140.632       123294322.759        44
              3        369351.000        23554043.792       123777322.143        43
             89        369351.000        37022243.105       192784533.496        46
             92        369351.000        38374574.689       199826474.659        42
             96        369351.000        36544758.852       190298148.763        45
             98        369351.000        35743454.469       186125545.148        47
            100        369351.000        22261239.804       115920116.781        48
            103        369351.000        36659844.242       190897430.759        47
             95        369351.000        35942448.393       187161758.053        48
             90        369351.000        37424327.253       194878291.084        43
             91        369351.000        36207526.380       188542088.772        46
             94        369351.000        40631604.611       211579426.270        37
              9        369351.000        25253282.041       132706902.620        37
             99        369351.000        25263395.873       131553134.245        42
              1        369352.000        20231314.049       106316252.148        51
              7        369352.000        20383131.571       107114074.878        49
             93        369352.000        39081509.552       203507671.230        42
             11        369352.000        20744884.060       109015078.207        49
             17        369352.000        23557774.108       123796957.565        45
             28        369352.000        23222451.439       122034799.140        44
             30        369352.000        20776796.565       109182797.481        51
             22        369352.000        23038189.268       121066494.032        44
              8        369352.000        23462471.872       123296065.329        44
              3        369352.000        23553535.171       123774648.457        44
             89        369352.000        37022194.663       192784281.225        46
             92        369352.000        38374523.124       199826205.970        42
             96        369352.000        36544823.715       190298486.605        45
             98        369352.000        35743397.424       186125247.565        47
            100        369352.000        22261247.482       115920158.949        49
            103        369352.000        36659846.493       190897444.133        47
             95        369352.000        35942499.365       187162023.395        48
             90        369352.000        37424271.325       194877999.808        43
             91        369352.000        36207475.407       188541822.644        46
             94        369352.000        40631388.595       211578300.171        37
              9        369352.000        25253530.532       132708208.313        37
             99        369352.000        25263058.874       131551379.636        42
              1        369353.000        20231413.497       106316774.816        50
              7        369353.000        20383341.602       107115178.688        49
             93        369353.000        39081451.233       203507368.005        42
             11        369353.000        20745172.896       109016596.313        48
             17        369353.000        23557482.951       123795428.296        44
             28        369353.000        23221962.728       122032230.803        44
             30        369353.000        20776644.329       109181996.972        50
             22        369353.000        23037871.237       121064822.754        44
              8        369353.000        23462803.374       123297807.905        43
              3        369353.000        23553026.741       123771974.889        44
             89        369353.000        37022146.012       192784029.052        46
             92        369353.000        38374471.437       199825937.375        42
             96        369353.000        36544888.752       190298824.539        45
             98        369353.000        35743340.379       186124950.226        47
            100        369353.000        22261255.509       115920201.379        48
            103        369353.000        36659849.198       190897457.658        47
             95        369353.000        35942550.337       187162288.989        48
             90        369353.000        37424215.467       194877708.596        43
             91        369353.000        36207424.104       188541556.593        47
             94        369353.000        40631172.421       211577173.992        37
              9        369353.000        25253778.848       132709513.764        37
             99        369353.000        25262721.945       131549625.311        42
              1        369354.000        20231513.208       106317297.994        51
              7        369354.000        20383551.929       107116283.016        50
             93        369354.000        39081393.072       203507064.666        42
             11        369354.000        20745461.942       109018114.737        50
             17        369354.000        23557192.003       123793899.089        45
             28        369354.000        23221473.773       122029662.277        45
             30        369354.000        20776492.093       109181196.986        51
             22        369354.000        23037553.521       121063151.643        45
              8        369354.000        23463135.155       123299550.326        44
              3        369354.000        23552518.608       123769301.256        45
             89        369354.000        37022097.588       192783776.774        46
             92        369354.000        38374419.923       199825668.665        42
             96        369354.000        36544953.475       190299162.356        45
             98        369354.000        35743283.038       186124652.923        47
            100        369354.000        22261264.007       115920243.849        48
            103        369354.000        36659851.467       190897471.124        47
             95        369354.000        35942601.344       187162554.622        48
             90        369354.000        37424159.713       194877417.282        43
             91        369354.000        36207373.079       188541290.430        46
