   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
             91        369343.000        36239255.517       188707309.425        46
             92        369343.000        38406307.596       199991716.754        42
              9        369343.000        25282612.070       132861022.360        35
             99        369343.000        25297412.612       131730268.598        42
              1        369344.000        20261935.848       106477145.538        47
              7        369344.000        20412868.609       107270337.809        46
              8        369344.000        23491231.821       123447255.159        41
             11        369344.000        20773989.453       109168031.369        46
             17        369344.000        23591516.233       123974265.455        41
              9        369344.000        25282954.129       132862830.114        34
             28        369344.000        23257772.215       122220420.228        41
             30        369344.000        20809432.486       109354294.246        48
              3        369344.000        23589020.590       123961104.659        41
             94        369344.000        40664532.526       211750902.780        36
             95        369344.000        35973507.617       187323490.709        48
             96        369344.000        36575719.709       190459364.880        45
             98        369344.000        35775270.578       186291214.967        46
             93        369344.000        39113390.437       203673686.107        41
            100        369344.000        22292598.683       116083408.573        48
            103        369344.000        36691241.913       191060920.370        47
             89        369344.000        37053997.144       192949883.825        45
             90        369344.000        37456133.765       195043914.482        43
             91        369344.000        36239299.265       188707538.201        46
             92        369344.000        38406351.135       199991942.973        42
             99        369344.000        25297170.280       131729007.294        42
              1        369345.000        20262129.423       106478162.730        51
              7        369345.000        20413173.011       107271936.238        50
              8        369345.000        23491658.810       123449497.928        44
             11        369345.000        20774372.834       109170045.765        50
             17        369345.000        23591319.673       123973234.473        45
             22        369345.000        23071918.741       121243751.075        45
             28        369345.000        23257380.057       122218352.183        45
             30        369345.000        20809374.778       109353988.199        52
              3        369345.000        23588603.215       123958930.438        44
             94        369345.000        40664411.736       211750272.983        37
             95        369345.000        35973653.553       187324250.097        49
             96        369345.000        36575879.693       190460197.803        46
             98        369345.000        35775308.236       186291411.480        48
             93        369345.000        39113427.169       203673877.967        43
            100        369345.000        22292701.709       116083944.785        49
            103        369345.000        36691339.495       191061428.472        48
             89        369345.000        37054043.911       192950126.709        46
             90        369345.000        37456172.941       195044118.366        44
             91        369345.000        36239343.362       188707767.227        47
             92        369345.000        38406394.516       199992169.444        43
              9        369345.000        25283299.329       132864637.702        38
             99        369345.000        25296928.246       131727746.430        43
              1        369346.000        20262322.894       106479180.733        49
              7        369346.000        20413477.465       107273535.477        48
              8        369346.000        23492085.677       123451740.845        43
             11        369346.000        20774756.076       109172060.765        49
             17        369346.000        23591123.114       123972203.846        43
             22        369346.000        23071703.562       121242577.776        43
             28        369346.000        23256987.182       122216284.250        43
             30        369346.000        20809316.040       109353682.980        50
              3        369346.000        23588190.343       123956756.457        42
             94        369346.000        40664290.788       211749643.155        38
             95        369346.000        35973799.472       187325009.844        49
             96        369346.000        36576039.903       190461030.923        46
             98        369346.000        35775345.893       186291608.327        48
             93        369346.000        39113464.059       203674070.023        43
            100        369346.000        22292804.822       116084481.349        49
            103        369346.000        36691437.024       191061936.833        48
             89        369346.000        37054090.416       192950369.798        47
             90        369346.000        37456212.239       195044322.433        44
             91        369346.000        36239387.737       188707996.446        47
             92        369346.000        38406437.949       199992396.092        43
              9        369346.000        25283643.517       132866445.213        38
             99        369346.000        25296686.526       131726485.941        43
              1        369347.000        20262516.696       106480199.585        54
              7        369347.000        20413781.954       107275135.538        52
              8        369347.000        23492512.073       123453983.854        47
             11        369347.000        20775139.475       109174076.371        52
             17        369347.000        23590927.549       123971173.580        48
             22        369347.000        23071477.757       121241404.938        48
             28        369347.000        23256593.872       122214216.426        47
             30        369347.000        20809258.263       109353378.592        54
              3        369347.000        23587775.901       123954582.677        46
             94        369347.000        40664170.190       211749013.416        37
             95        369347.000        35973945.548       187325769.933        48
             96        369347.000        36576199.974       190461864.216        46
             98        369347.000        35775383.900       186291805.501        47
             93        369347.000        39113501.106       203674262.247        42
            100        369347.000        22292908.110       116085018.262        49
            103        369347.000        36691534.815       191062445.448        47
             89        369347.000        37054137.304       192950613.071        46
             90        369347.000        37456251.554       195044526.691        43
             91        369347.000        36239431.921       188708225.848        47
             92        369347.000        38406481.575       199992622.941        43
              9        369347.000        25283984.913       132868252.577        40
             99        369347.000        25296444.700       131725225.868        42
              1        369348.000        20262710.690       106481219.046        52
              7        369348.000        20414086.460       107276736.206        51
              8        369348.000        23492939.394       123456226.771        46
             11        369348.000        20775523.118       109176092.374        51
             17        369348.000        23590731.653       123970143.449        47
             22        369348.000        23071255.877       121240232.342        46
             28        369348.000        23256200.178       122212148.499        46
             30        369348.000        20809200.677       109353074.835        53
              3        369348.000        23587362.522       123952408.914        46
             94        369348.000        40664049.242       211748383.470        37
             95        369348.000        35974091.536       187326530.152        48
             96        369348.000        36576360.132       190462697.524        46
             98        369348.000        35775421.976       186292002.822        47
             93        369348.000        39113538.170       203674454.483        42
            100        369348.000        22293011.276       116085555.327        49
            103        369348.000        36691632.484       191062954.100        47
             89        369348.000        37054184.123       192950856.317        46
             90        369348.000        37456290.887       195044730.936        44
             91        369348.000        36239475.739       188708455.227        47
             92        369348.000        38406525.218       199992849.775        43
              9        369348.000        25284329.014       132870059.609        39
             99        369348.000        25296202.945       131723965.941        42
              1        369349.000        20262904.963       106482239.294        50
              7        369349.000        20414391.280       107278337.657        49
              8        369349.000        23493366.331       123458469.781        44
             11        369349.000        20775906.534       109178108.954        49
             17        369349.000        23590535.967       123969113.159        45
             22        369349.000        23071032.392       121239060.164        44
             28        369349.000        23255806.797       122210080.138        44
             30        369349.000        20809143.091       109352771.877        50
              3        369349.000        23586948.987       123950234.850        43
             94        369349.000        40663928.243       211747753.537        37
             95        369349.000        35974237.699       187327290.703        48
             96        369349.000        36576520.308       190463530.998        46
             98        369349.000        35775459.966       186292200.480        47
             93        369349.000        39113575.008       203674646.857        42
            100        369349.000        22293114.389       116086092.700        49
            103        369349.000        36691730.083       191063462.974        47
             89        369349.000        37054230.715       192951099.731        46
             90        369349.000        37456330.272       195044935.322        43
             91        369349.000        36239519.644       188708684.774        47
             92        369349.000        38406568.721       199993076.763        43
              9        369349.000        25284674.162       132871866.470        38
             99        369349.000        25295960.998       131722706.411        42
              1        369350.000        20263099.219       106483260.246        50
              7        369350.000        20414696.328       107279939.801        49
              8        369350.000        23493793.164       123460712.795        44
             11        369350.000        20776290.439       109180126.030        49
             17        369350.000        23590340.280       123968083.609        44
             22        369350.000        23070809.570       121237888.315        44
             28        369350.000        23255413.155       122208012.279        44
             30        369350.000        20809085.558       109352469.632        50
              3        369350.000        23586535.522       123948061.393        43
             94        369350.000        40663807.103       211747123.481        37
             95        369350.000        35974383.723       187328051.467        48
             96        369350.000        36576680.326       190464364.569        46
             98        369350.000        35775497.815       186292398.339        47
             93        369350.000        39113612.107       203674839.297        42
            100        369350.000        22293217.694       116086630.307        49
            103        369350.000        36691828.066       191063971.978        47
             89        369350.000        37054277.569       192951343.212        46
             90        369350.000        37456369.552       195045139.790        43
             91        369350.000        36239563.740       188708914.369        47
             92        369350.000        38406612.295       199993303.814        43
              9        369350.000        25285017.443       132873673.128        37
             99        369350.000        25295719.277       131721447.143        42
              1        369351.000        20263293.667       106484281.986        50
              7        369351.000        20415001.288       107281542.705        49
              8        369351.000        23494219.821       123462955.850        43
             11        369351.000        20776674.536       109182143.650        49
             17        369351.000        23590144.715       123967054.348        44
             22        369351.000        23070585.108       121236716.871        44
             28        369351.000        23255019.723       122205944.460        44
             30        369351.000        20809028.007       109352168.174        50
              3        369351.000        23586122.178       123945888.097        43
             94        369351.000        40663686.138       211746493.383        37
             95        369351.000        35974529.816       187328812.537        48
             96        369351.000        36576840.519       190465198.265        46
             98        369351.000        35775535.822       186292596.484        47
             93        369351.000        39113649.153       203675031.870        42
            100        369351.000        22293321.017       116087168.205        49
            103        369351.000        36691925.874       191064481.177        47
             89        369351.000        37054324.423       192951586.846        46
             90        369351.000        37456408.676       195045344.426        43
             91        369351.000        36239607.977       188709144.118        47
             92        369351.000        38406655.903       199993531.004        42
              9        369351.000        25285361.561       132875479.597        37
             99        369351.000        25295477.400       131720188.206        42
              1        369352.000        20263488.114       106485304.486        50
              7        369352.000        20415306.387       107283146.365        49
              8        369352.000        23494646.340       123465198.977        43
             11        369352.000        20777058.632       109184161.801        49
             17        369352.000        23589948.749       123966025.377        44
             22        369352.000        23070362.601       121235545.806        44
             28        369352.000        23254626.046       122203876.684        44
             30        369352.000        20808970.770       109351867.479        50
              3        369352.000        23585708.905       123943714.979        43
             94        369352.000        40663565.383       211745863.288        37
             95        369352.000        35974676.101       187329573.878        48
             96        369352.000        36577000.398       190466032.108        46
             98        369352.000        35775574.072       186292794.906        47
             93        369352.000        39113686.235       203675224.566        42
            100        369352.000        22293424.131       116087706.377        49
            103        369352.000        36692023.613       191064990.554        47
             89        369352.000        37054371.190       192951830.575        46
             90        369352.000        37456448.061       195045549.148        43
             91        369352.000        36239652.318       188709373.992        47
             92        369352.000        38406699.703       199993758.321        43
              9        369352.000        25285705.103       132877285.850        37
             99        369352.000        25295235.732       131718929.607        43
              1        369353.000        20263682.737       106486327.557        50
              7        369353.000        20415611.592       107284750.580        49
              8        369353.000        23495073.120       123467441.959        43
             11        369353.000        20777442.694       109186180.309        49
             17        369353.000        23589752.748       123964996.512        44
             22        369353.000        23070140.075       121234374.938        44
             28        369353.000        23254232.456       122201808.753        44
             30        369353.000        20808913.656       109351567.372        50
              3        369353.000        23585295.509       123941541.815        44
             94        369353.000        40663444.261       211745232.979        37
             95        369353.000        35974822.282       187330335.334        48
             96        369353.000        36577160.574       190466865.902        45
             98        369353.000        35775612.079       186292993.421        47
